Date,Ball,X
105/04/08,X6,2
105/04/08,S,43
105/04/05,X1,14
105/04/05,X2,32
105/04/05,X3,38
105/04/05,X4,43
105/04/05,X5,23
105/04/05,X6,26
105/04/05,S,3
105/04/01,X1,39
105/04/01,X2,12
105/04/01,X3,16
105/04/01,X4,29
105/04/01,X5,8
105/04/01,X6,37
105/04/01,S,40
105/03/29,X1,47
105/03/29,X2,18
105/03/29,X3,46
105/03/29,X4,1
105/03/29,X5,34
105/03/29,X6,17
105/03/29,S,25
105/03/25,X1,37
105/03/25,X2,41
105/03/25,X3,7
105/03/25,X4,11
105/03/25,X5,40
105/03/25,X6,22
105/03/25,S,20
105/03/22,X1,33
105/03/22,X2,7
105/03/22,X3,16
105/03/22,X4,20
105/03/22,X5,30
105/03/22,X6,11
105/03/22,S,6
105/03/18,X1,4
105/03/18,X2,18
105/03/18,X3,1
105/03/18,X4,3
105/03/18,X5,25
105/03/18,X6,47
105/03/18,S,13
105/03/15,X1,14
105/03/15,X2,48
105/03/15,X3,6
105/03/15,X4,30
105/03/15,X5,42
105/03/15,X6,47
105/03/15,S,18
105/03/11,X1,9
105/03/11,X2,34
105/03/11,X3,49
105/03/11,X4,36
105/03/11,X5,16
105/03/11,X6,30
105/03/11,S,31
105/03/08,X1,3
105/03/08,X2,30
105/03/08,X3,27
105/03/08,X4,39
105/03/08,X5,41
105/03/08,X6,35
105/03/08,S,32
105/03/04,X1,29
105/03/04,X2,7
105/03/04,X3,5
105/03/04,X4,12
105/03/04,X5,22
105/03/04,X6,17
105/03/04,S,4
105/03/01,X1,34
105/03/01,X2,17
105/03/01,X3,23
105/03/01,X4,14
105/03/01,X5,7
105/03/01,X6,22
105/03/01,S,12
105/02/26,X1,3
105/02/26,X2,46
105/02/26,X3,21
105/02/26,X4,9
105/02/26,X5,17
105/02/26,X6,41
105/02/26,S,27
105/02/23,X1,20
105/02/23,X2,14
105/02/23,X3,19
105/02/23,X4,43
105/02/23,X5,45
105/02/23,X6,10
105/02/23,S,22
105/02/19,X1,23
105/02/19,X2,20
105/02/19,X3,44
105/02/19,X4,30
105/02/19,X5,11
105/02/19,X6,39
105/02/19,S,49
105/02/16,X1,23
105/02/16,X2,33
105/02/16,X3,11
105/02/16,X4,34
105/02/16,X5,40
105/02/16,X6,29
105/02/16,S,6
105/02/14,X1,21
105/02/14,X2,3
105/02/14,X3,26
105/02/14,X4,16
105/02/14,X5,20
105/02/14,X6,1
105/02/14,S,22
105/02/13,X1,6
105/02/13,X2,18
105/02/13,X3,29
105/02/13,X4,35
105/02/13,X5,4
105/02/13,X6,48
105/02/13,S,20
105/02/12,X1,32
105/02/12,X2,22
105/02/12,X3,6
105/02/12,X4,10
105/02/12,X5,11
105/02/12,X6,45
105/02/12,S,4
105/02/11,X1,3
105/02/11,X2,34
105/02/11,X3,13
105/02/11,X4,48
105/02/11,X5,29
105/02/11,X6,30
105/02/11,S,28
105/02/10,X1,19
105/02/10,X2,32
105/02/10,X3,22
105/02/10,X4,47
105/02/10,X5,18
105/02/10,X6,44
105/02/10,S,9
105/02/09,X1,31
105/02/09,X2,25
105/02/09,X3,9
105/02/09,X4,24
105/02/09,X5,45
105/02/09,X6,37
105/02/09,S,12
105/02/08,X1,27
105/02/08,X2,12
105/02/08,X3,8
105/02/08,X4,32
105/02/08,X5,13
105/02/08,X6,16
105/02/08,S,24
105/02/07,X1,21
105/02/07,X2,11
105/02/07,X3,4
105/02/07,X4,37
105/02/07,X5,35
105/02/07,X6,25
105/02/07,S,43
105/02/05,X1,41
105/02/05,X2,5
105/02/05,X3,30
105/02/05,X4,4
105/02/05,X5,26
105/02/05,X6,38
105/02/05,S,28
105/02/02,X1,48
105/02/02,X2,15
105/02/02,X3,21
105/02/02,X4,26
105/02/02,X5,43
105/02/02,X6,23
105/02/02,S,34
105/01/29,X1,16
105/01/29,X2,38
105/01/29,X3,35
105/01/29,X4,45
105/01/29,X5,48
105/01/29,X6,44
105/01/29,S,27
105/01/26,X1,17
105/01/26,X2,46
105/01/26,X3,35
105/01/26,X4,11
105/01/26,X5,13
105/01/26,X6,39
105/01/26,S,2
105/01/22,X1,46
105/01/22,X2,20
105/01/22,X3,10
105/01/22,X4,17
105/01/22,X5,15
105/01/22,X6,43
105/01/22,S,37
105/01/19,X1,14
105/01/19,X2,9
105/01/19,X3,46
105/01/19,X4,4
105/01/19,X5,23
105/01/19,X6,44
105/01/19,S,41
105/01/15,X1,27
